what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644005053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644010607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644012100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644140567
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.ClassFileEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1388644143887
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.ClassFileEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1388644145046
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.ClassFileEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1388644145822
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.ClassFileEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1388644146527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644150452
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644151115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644152268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644154644
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644155404
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644158449
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644159601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644161228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644161571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644161926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644162583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644162928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1388644162964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388644163249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644165210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644167300
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644167681
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644168040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644169486
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1388644171998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388644175625
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388644176802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644177063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1388644177115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644186111
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1388644191939
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388644197345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388644201827
