what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388475110137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475112533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475123004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475124701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475144607
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388475145595
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388475145595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475147981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475169554
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388475170568
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388475170568
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388475171279
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388475171279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475203635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475225997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475235006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475235413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475248468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475248499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475249273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388475249284
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1388475251071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475278383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475320178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1388475320203
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1388475321102
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1388475321140
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388475322693
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1388475322737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475330372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475331827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475338171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475343341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475344554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475344887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475345040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475345747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475412185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475415721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475417554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388475423267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388475426866
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1388475445758
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1388475446136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475447788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475454699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388475458875
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1388475463334
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1388475465162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475467506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475470984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388475475707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388475480602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475501399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388475510392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388475513405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388475545444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388475551664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388475555423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388475564575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475572023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475572234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475572425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388475572591
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388475576885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388475578788
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1388475581269
