what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388478752292
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1388478824274
closed,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1388478824274
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388478825610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478833173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478839828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478847884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478901770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388478905318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478905707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388478907689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388478921280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388478921412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478922126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478922165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478923137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388478923154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478929770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478930634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1388478930651
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1388478932878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478936881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478937333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1388478937353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478939162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388478939581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478941008
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388478941143
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388478941264
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1388478941425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478944368
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1388478944497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478957019
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388478957198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388478957372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478959467
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1388478959654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478968889
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388478969008
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388478969100
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388478970018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1388478970020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388478971894
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1388478972108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388479003998
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388479004064
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388479007848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388479007974
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388479010201
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1388479012554
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1388479012687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388479014837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388479015230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388479015441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388479015621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388479015802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388479021718
